Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
CNG,"Memphis Light, Gas and Water - North Center",1130 Tupelo St,,Memphis,TN,38108,,901-320-1062  901-320-1473,E,,Public - Credit card at all times,24 hours daily,D FuelMan M V Voyager Wright_Exp,,Q,3600,,,,,,,200-8,35.166531,-89.972823,2020-09-03,1215,2021-12-01 19:56:14 UTC,LG,,,1995-09-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,2,NONE,185,,,,,,,,,Q,3600,HD,,,
LPG,Blossman Gas Inc,1121 Highway 19 E,"At Highway 37 E Bypass, 1 mile south of intersection of 321 and 19 E",Elizabethton,TN,37643,,423-542-3511,E,,Public,8am-5pm M-F (full service); 24 hour access with Alliance AutoGas card (self-service),A ALLIANCE Cash Checks D M V Voyager,,,,,,,,,,GPS,36.3486529,-82.2143018,2021-09-10,14980,2021-09-10 19:40:26 UTC,P,,,1999-07-08,,,false,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,
LPG,Blossman Gas Inc,2798 APD 40,Off Highway 64,Cleveland,TN,37323,,423-479-7569,E,,Public - Call ahead,"8am-5pm M-F, 8am-12pm Sat (Sat hours in winter only) (full service); 24 hour access with Alliance AutoGas card (self-service)",A ALLIANCE Cash D M V,,,,,,,,,,200-8,35.131482,-84.8791,2021-09-10,17915,2021-09-10 19:40:26 UTC,P,,,1999-07-19,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,
LPG,U-Haul,121 Moving Center Ct,Gallatin Rd,Madison,TN,37115,,615-868-5081,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,GPS,36.251407,-86.719961,2021-06-07,19667,2021-06-07 17:37:37 UTC,P,,,2000-11-01,,,false,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,
LPG,U-Haul,1420 NE Memorial Blvd,At Clark,Murfreesboro,TN,37129,,615-896-9018,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,35.862106,-86.389596,2021-06-07,19668,2021-06-07 17:37:37 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,
LPG,U-Haul,14535 Lebanon Rd,East of Andrew Jackson Pkwy,Old Hickory,TN,37138,,615-754-6246,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,GPS,36.219753,-86.568904,2021-06-07,19669,2021-06-07 17:37:37 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,
LPG,U-Haul,1816 8th Ave S,1 block west of I-65 at Wedgewood Ave,Nashville,TN,37203,,615-383-6455,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,36.134991,-86.778633,2021-06-07,19670,2021-06-07 17:37:37 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,
LPG,U-Haul,3741 Annex Ave,Near Hillwood Plaza,Nashville,TN,37209,,615-356-2550,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,36.140596,-86.884048,2021-06-07,19671,2021-06-07 17:37:37 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,
LPG,Suburban Propane,1147 N Congress Pkwy,,Athens,TN,37303,,423-745-5143,E,,Public - Call ahead,8am-5pm M-F,A Cash D M V,,,,,,,,,,200-9,35.488694,-84.581297,2021-09-10,19675,2021-09-10 19:40:26 UTC,P,,,2000-11-01,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,
LPG,U-Haul,2022 Broad St,At 20th,Chattanooga,TN,37408,,423-756-0157,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash Checks D M V,,,,,,,,,,200-9,35.032674,-85.313368,2021-06-07,19678,2021-06-07 17:37:37 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,
